Predictions1,Predictions2,Predictions3,Predictions4,Updates1,Updates2,Updates3,Updates4,Targets
-0.65056854,1.7606621,-2.3224995,2.5689325,-0.1,-0.1,-0.1,-0.1,0.0059917853
0.6255436,2.6859694,-2.2724497,2.659266,-0.1,-0.1,-0.1,-0.1,0.0009893146
0.6447702,2.6859694,-2.249714,2.6832228,-0.1,-0.1,-0.1,-0.1,0.03531719
0.6461435,2.686122,-2.197986,2.6617074,-0.1,-0.1,-0.1,-0.1,0.012899615
0.70107555,2.686122,-2.1699092,2.6833754,-0.1,-0.1,-0.1,-0.1,-0.013379529
0.79247713,2.686122,-2.1775386,2.651484,-0.1,-0.1,-0.1,-0.1,0.030120771
0.7863736,2.6859694,-2.1601436,2.6833754,-0.1,-0.1,-0.1,-0.1,0.04739955
0.67315155,2.740902,-2.1531243,2.6614022,-0.1,-0.1,-0.1,-0.1,0.044561498
0.76821566,2.6856642,-2.1494622,2.6836805,-0.1,-0.1,-0.1,-0.1,0.06942804
0.7206068,2.686122,-2.171435,2.6588082,-0.1,-0.1,-0.1,-0.1,0.054725
0.69848156,2.6858168,-2.1555657,2.6844435,-0.1,-0.1,-0.1,-0.1,0.08592178
0.66323334,2.686122,-2.179675,2.6832228,-0.1,-0.1,-0.1,-0.1,0.05787639
0.6804758,2.686122,-2.2260623,2.6800184,-0.1,-0.1,-0.1,-0.1,0.07303654
0.6865797,2.686122,-2.2399483,2.668879,-0.1,-0.1,-0.1,-0.1,0.10150924
0.6278324,2.6847486,-2.262684,2.6617074,-0.1,-0.1,-0.1,-0.1,0.09510876
0.66292816,2.686122,-2.2762647,2.6812391,-0.1,-0.1,-0.1,-0.1,0.11181513
0.65926605,2.686122,-2.2567332,2.662623,-0.1,-0.1,-0.1,-0.1,0.099163465
0.670405,2.6859694,-2.2785535,2.6665902,-0.1,-0.1,-0.1,-0.1,0.10804814
0.6421757,2.686122,-2.2870984,2.6212714,-0.1,-0.1,-0.1,-0.1,0.13348563
0.64385414,2.686122,-2.2436104,2.6238654,-0.1,-0.1,-0.1,-0.1,0.12887827
0.7096205,2.6859694,-2.2372017,2.6394296,-0.1,-0.1,-0.1,-0.1,0.1370545
0.75463486,2.686122,-2.1857786,2.6063178,-0.1,-0.1,-0.1,-0.1,0.1746667
0.806058,2.6859694,-2.1479363,2.644465,-0.1,-0.1,-0.1,-0.1,0.15169726
0.840086,2.6856642,-2.090715,2.6519418,-0.1,-0.1,-0.1,-0.1,0.1201276
0.7692838,2.7430382,-2.0637064,2.6833754,-0.1,-0.1,-0.1,-0.1,0.1770193
0.87304497,2.686122,-2.0946822,2.6833754,-0.1,-0.1,-0.1,-0.1,0.16795698
0.8376437,2.6856642,-2.1055162,2.6833754,-0.1,-0.1,-0.1,-0.1,0.1870823
0.7145033,2.684596,-2.0844588,2.6833754,-0.1,-0.1,-0.1,-0.1,0.17751928
0.8094149,2.6847486,-2.0946822,2.6453805,-0.1,-0.1,-0.1,-0.1,0.17699054
0.7204542,2.6847486,-2.1296253,2.6433969,-0.1,-0.1,-0.1,-0.1,0.20610657
0.6653696,2.6849012,-2.13344,2.5161362,-0.1,-0.1,-0.1,-0.1,0.18723425
0.6585031,2.684596,-2.1541924,2.575036,-0.1,-0.1,-0.1,-0.1,0.20432046
0.67055756,2.684596,-2.1836424,2.5893793,-0.1,-0.1,-0.1,-0.1,0.19692305
0.65819794,2.6844435,-2.1836424,2.5689325,-0.1,-0.1,-0.1,-0.1,0.21451984
0.6546884,2.6844435,-2.2092774,2.650721,-0.1,-0.1,-0.1,-0.1,0.20044698
0.6472116,2.6849012,-2.1918821,2.6395822,-0.1,-0.1,-0.1,-0.1,0.22807083
0.62752724,2.6849012,-2.2028687,2.6833754,-0.1,-0.1,-0.1,-0.1,0.25741875
0.6728464,2.6849012,-2.1943235,2.6833754,-0.1,-0.1,-0.1,-0.1,0.250045
0.66689545,2.6849012,-2.174792,2.6836805,-0.1,-0.1,-0.1,-0.1,0.24846576
0.75600815,2.6849012,-2.1750972,2.6833754,-0.1,-0.1,-0.1,-0.1,0.25962952
0.75219345,2.6856642,-2.1358814,2.6833754,-0.1,-0.1,-0.1,-0.1,0.2601333
0.7976651,2.6847486,-2.105211,2.6873426,-0.1,-0.1,-0.1,-0.1,0.26092577
0.8098727,2.6849012,-2.0751505,2.6833754,-0.1,-0.1,-0.1,-0.1,0.2755494
0.91561747,2.6849012,-2.033341,2.6833754,-0.1,-0.1,-0.1,-0.1,0.297644
0.8095675,2.7418175,-2.0308995,2.6833754,-0.1,-0.1,-0.1,-0.1,0.27355823
0.92828274,2.684596,-2.0479896,2.6833754,-0.1,-0.1,-0.1,-0.1,0.28772837
0.8387118,2.6849012,-2.04448,2.6833754,-0.1,-0.1,-0.1,-0.1,0.29560062
0.82818323,2.6847486,-2.0615702,2.6833754,-0.1,-0.1,-0.1,-0.1,0.30451125
0.7070265,2.7418175,-2.0736246,2.6833754,-0.1,-0.1,-0.1,-0.1,0.31164086
0.75234604,2.6844435,-2.1152818,2.6833754,-0.1,-0.1,-0.1,-0.1,0.2822839
0.7207594,2.6847486,-2.1369495,2.6833754,-0.1,-0.1,-0.1,-0.1,0.32871622
0.68734264,2.6849012,-2.1276417,2.6833754,-0.1,-0.1,-0.1,-0.1,0.35578233
0.6824594,2.6847486,-2.1311512,2.6833754,-0.1,-0.1,-0.1,-0.1,0.34322423
0.7326622,2.6849012,-2.1467156,2.650721,-0.1,-0.1,-0.1,-0.1,0.39525014
0.7167921,2.684596,-2.1764705,2.647822,-0.1,-0.1,-0.1,-0.1,0.37689316
0.7337303,2.6844435,-2.1679256,2.6417184,-0.1,-0.1,-0.1,-0.1,0.37493134
0.7865262,2.6847486,-2.1723506,2.607691,-0.1,-0.1,-0.1,-0.1,0.35725954
0.76195955,2.683528,-2.171435,2.5747309,-0.1,-0.1,-0.1,-0.1,0.37618953
0.8049899,2.6849012,-2.1552606,2.5759516,-0.1,-0.1,-0.1,-0.1,0.40607268
0.8352023,2.6847486,-2.1102464,2.5796137,-0.1,-0.1,-0.1,-0.1,0.40316442
0.86694145,2.684596,-2.073472,2.5967035,-0.1,-0.1,-0.1,-0.1,0.40653914
0.8716717,2.6849012,-2.0394444,2.6624703,-0.1,-0.1,-0.1,-0.1,0.41709164
0.88662577,2.6833754,-2.0334935,2.6685739,-0.1,-0.1,-0.1,-0.1,0.42721206
0.91226053,2.6844435,-2.0104525,2.6833754,-0.1,-0.1,-0.1,-0.1,0.43317026
0.83657557,2.683528,-1.9991608,2.6833754,-0.1,-0.1,-0.1,-0.1,0.45004097
0.87563896,2.6836805,-2.0063326,2.6870375,-0.1,-0.1,-0.1,-0.1,0.4368082
0.91195536,2.683528,-2.0164034,2.6832228,-0.1,-0.1,-0.1,-0.1,0.4423347
0.83184534,2.683528,-2.0579078,2.6833754,-0.1,-0.1,-0.1,-0.1,0.4539431
