Predictions1,Predictions2,Predictions3,Predictions4,Weights1,Weights2,Weights3,Weights4,Updates1,Updates2,Updates3,Updates4,Targets
-0.011978626,0.024796009,-0.006942749,0.0005340576,-inf,inf,inf,-inf,0.0,0.0,0.0,0.0,0.07896327
-0.0116734505,0.03562975,-0.0032806396,0.004043579,-1.167345,3.562975,-0.32806396,0.4043579,0.0014984224,7.932644e-05,0.0012466381,0.0010269115,0.038273964
-0.0031280518,0.03547716,0.0037384033,0.0016021729,-0.15640259,1.7738581,0.18692017,0.08010864,0.003877571,0.0015612586,0.003465584,0.003593758,0.06149814
-0.0046539307,0.03929186,0.0049591064,0.013504028,-0.15513103,1.3097286,0.16530356,0.45013428,0.0032806369,-0.000674484,0.0024154636,0.0016464206,0.03179759
-0.006790161,0.045242786,0.0029754639,0.0025177002,-0.16975403,1.1310697,0.0743866,0.062942505,0.0062143477,-2.9605775e-05,0.005042473,0.0050974046,0.04499607
-0.0019073486,0.043259144,0.008621216,0.009994507,-0.038146973,0.8651829,0.17242432,0.19989014,0.0151875755,0.008412601,0.013608291,0.013402297,0.09934315
-0.0046539307,0.03929186,0.004043579,0.0063323975,-0.07756551,0.6548643,0.06739299,0.10553996,0.0071485727,-0.0007616689,0.0055830213,0.005171034,0.035060365
0.0016021729,0.048904896,0.010299683,0.0061798096,0.022888184,0.69864136,0.14713833,0.088282995,0.017735535,0.0078019626,0.015909057,0.016774232,0.0860571
0.0051116943,0.045395374,0.01625061,0.004043579,0.06389618,0.5674422,0.20313263,0.05054474,0.025357833,0.01568975,0.022684492,0.02561418,0.11076933
0.0064849854,0.04798937,0.017623901,0.0063323975,0.07205539,0.53321517,0.19582112,0.07035997,0.02465405,0.013447866,0.021646542,0.024695247,0.097796276
0.0051116943,0.05912876,0.015029907,0.0038909912,0.051116943,0.5912876,0.15029907,0.038909912,0.03957899,0.02337387,0.036603525,0.0399452,0.13704166
0.011367798,0.060349464,0.02250719,0.0037384033,0.10334362,0.5486315,0.20461082,0.033985484,0.039852034,0.023688085,0.036176037,0.042369734,0.13213155
0.0038909912,0.066147804,0.020981312,-0.0022125244,0.032424927,0.55123174,0.17484426,-0.018437704,0.033380836,0.010968386,0.027228324,0.035578102,0.096615545
0.007858276,0.0649271,0.01625061,0.0037384033,0.06044828,0.49943927,0.1250047,0.02875695,0.03239571,0.0101388665,0.029122697,0.034002457,0.090924196
0.011062622,0.06523228,0.025864124,0.004196167,0.07901873,0.46594483,0.18474375,0.029972622,0.03562875,0.012877496,0.02941212,0.038512662,0.09589298
0.009994507,0.064011574,0.026016712,0.0061798096,0.06663004,0.4267438,0.17344475,0.04119873,0.07644225,0.05213457,0.069232255,0.07815886,0.17986616
0.013504028,0.06263828,0.022354603,-0.0019073486,0.08440018,0.39148927,0.13971627,-0.011920929,0.06086312,0.03727868,0.056614842,0.06826058,0.1403022
0.009841919,0.052567005,0.024490833,0.0049591064,0.05789364,0.30921766,0.14406373,0.029171214,0.060479544,0.03868975,0.053008597,0.06296978,0.12842926
0.010147095,0.04203844,0.027390003,0.0005340576,0.056372747,0.23354688,0.15216668,0.0029669867,0.05594622,0.03872489,0.04663505,0.06113726,0.1137512
0.018844604,0.056381702,0.029526234,0.0049591064,0.09918213,0.2967458,0.15540123,0.026100561,0.09236848,0.07097234,0.08627996,0.10028322,0.18089458
0.011062622,0.0501256,0.029526234,0.0025177002,0.05531311,0.250628,0.14763117,0.012588501,0.07712421,0.053686418,0.06604604,0.08225116,0.13960296
0.009994507,0.04921007,0.025711536,0.0049591064,0.04759289,0.23433368,0.12243589,0.023614794,0.08869777,0.06399196,0.07879604,0.09187007,0.15078461
0.01625061,0.0501256,0.02830553,0.002822876,0.07386641,0.22784363,0.1286615,0.012831255,0.1046883,0.08233081,0.09673205,0.1135506,0.17486925
0.009841919,0.044022083,0.022049427,0.0038909912,0.04279095,0.19140036,0.095867075,0.016917353,0.13392258,0.11033826,0.1254994,0.13802873,0.20393261
0.014877319,0.046921253,0.027084827,0.0075531006,0.06198883,0.19550523,0.11285345,0.031471252,0.11198668,0.08891505,0.10319728,0.11726012,0.17041439
0.018692017,0.050278187,0.025711536,0.002822876,0.07476807,0.20111275,0.102846146,0.011291504,0.121938564,0.098248936,0.116673924,0.13384041,0.18127677
0.015182495,0.050583363,0.027390003,0.0063323975,0.058394212,0.19455141,0.10534617,0.024355376,0.16138002,0.13376734,0.15185817,0.16828309,0.22207996
0.015945435,0.05500841,0.036850452,0.0066375732,0.05905716,0.20373484,0.13648315,0.024583604,0.11196032,0.08031931,0.09502725,0.11949968,0.15416804
0.019913197,0.05668688,0.02327013,0.004196167,0.071118556,0.20245314,0.083107606,0.014986311,0.18707311,0.15618321,0.18425329,0.20027542,0.24261928
0.01960802,0.055313587,0.030594349,0.0029754639,0.06761387,0.19073652,0.105497755,0.010260221,0.14963274,0.11856889,0.14007463,0.16410306,0.19159967
0.018692017,0.055466175,0.028458118,0.0025177002,0.06230672,0.18488725,0.09486039,0.008392334,0.21702798,0.18393123,0.20823848,0.23158486,0.2598342
0.01625061,0.055313587,0.030594349,0.001449585,0.052421324,0.17843093,0.09869145,0.0046760803,0.22520182,0.18887325,0.21186213,0.23896676,0.2584031
0.01838684,0.05790758,0.029678822,0.0005340576,0.057458878,0.18096119,0.09274632,0.00166893,0.22963914,0.19169924,0.21879885,0.24677782,0.2575943
0.01838684,0.056381702,0.036697865,0.0064849854,0.055717696,0.17085363,0.111205645,0.01965147,0.20736304,0.16974811,0.18923512,0.21914586,0.22784445
0.018539429,0.06477451,0.038071156,-0.0009918213,0.05452773,0.19051327,0.111973986,-0.0029171214,0.23064415,0.18348438,0.21072179,0.25056604,0.24466115
